Eficiencia Exploración,Epsilon Decay,Epsilon Min,Epsilon Start,Pasos Totales,Pasos/Segundo,Pokemon Obtenidos,Posiciones Exploradas,Recompensa Promedio,Recompensa Total,Suma de Niveles,Tiempo (s),Timestamp,Algorithm,Source_File,Eficiencia (Rew/Paso),Estado de Ejecución,Velocidad (Pasos/s),Escenario,Memoria (MB),Razón,Agente,Modelo,Acción Más Usada,Algoritmo,Eficiencia (Recompensa/Paso),Posiciones Visitadas,Razón de Terminación,Total_Steps,Execution_Time,Total_Reward,Efficiency,Speed
0.4878048780487805,0.9995,0.05,0.5,123.0,123.0,1.0,60.0,1.006441056910569,123.79225,5.0,0.0016002655029296,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\10\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,123.0,0.0016002655029296,123.79225,1.006441056910569,1230.0
0.4551724137931034,0.9995,0.05,0.5,290.0,290.0,1.0,132.0,0.516750048275862,149.85751399999998,5.0,0.0015366077423095,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\11\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,290.0,0.0015366077423095,149.85751399999998,0.516750048275862,2900.0
0.3974358974358974,0.9995,0.05,0.5,78.0,78.0,1.0,31.0,1.4961133333333332,116.69684,5.0,0.0,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\2\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,78.0,0.0,116.69684,1.4961133333333332,780.0
0.345679012345679,0.9995,0.05,0.5,162.0,162.0,1.0,56.0,0.798682925925926,129.38663400000002,5.0,0.0015132427215576,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\3\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,162.0,0.0015132427215576,129.38663400000002,0.798682925925926,1620.0
0.5,0.9995,0.05,0.5,66.0,66.0,1.0,33.0,0.9666321515151516,63.79772200000001,6.0,0.0,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\4\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,66.0,0.0,63.79772200000001,0.9666321515151516,660.0
0.3709519136408243,0.9995,0.05,0.5,1019.0,1019.0,1.0,378.0,0.2729924337585869,278.17929000000004,5.0,0.0036242008209228,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\5\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,1019.0,0.0036242008209228,278.17929000000004,0.2729924337585869,10190.0
0.3395613322502031,0.9995,0.05,0.5,1231.0,1231.0,1.0,418.0,0.2517794248578391,309.940472,5.0,0.0030238628387451,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\6\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,1231.0,0.0030238628387451,309.940472,0.25177942485783916,12310.0
0.2928571428571428,0.9995,0.05,0.5,140.0,140.0,1.0,41.0,0.8849284928571427,123.889989,5.0,0.0,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\7\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,140.0,0.0,123.889989,0.8849284928571428,1400.0
0.4848484848484848,0.9995,0.05,0.5,33.0,33.0,1.0,16.0,3.257557727272727,107.499405,5.0,0.0,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\8\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,33.0,0.0,107.499405,3.257557727272727,330.0
0.4009009009009009,0.9995,0.05,0.5,444.0,444.0,1.0,178.0,0.4027044256756756,178.80076499999998,5.0,0.0015146732330322,1758505059.0,epsilon_greedy_balanceada,RESULTADOS\epsilon_greedy_comparison\balanceada\9\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,444.0,0.0015146732330322,178.80076499999998,0.40270442567567566,4440.0
